date,away,home,actual_winner,v3_picked,v3_pick_prob,v3_home_prob,v3_away_prob,v3_correct,v3_picked_was_dog,v4_picked,v4_pick_prob,v4_home_prob,v4_away_prob,v4_correct,v4_picked_was_dog,disagreement
2025-03-27,MIL,NYY,NYY,NYY,0.5516,0.5516,0.4959,1,0,NYY,0.5811,0.5811,0.4659,1,0,0
2025-03-27,BAL,TOR,BAL,TOR,0.5485,0.5485,0.499,0,0,TOR,0.56,0.56,0.4874,0,0,0
2025-03-27,BOS,TEX,BOS,TEX,0.5354,0.5354,0.5122,0,0,BOS,0.5348,0.5128,0.5348,1,1,1
2025-03-27,PHI,WAS,PHI,PHI,0.5447,0.5029,0.5447,1,0,PHI,0.5468,0.5008,0.5468,1,0,0
2025-03-27,CLE,KCR,CLE,CLE,0.5374,0.5102,0.5374,1,0,CLE,0.5323,0.5153,0.5323,1,0,0
2025-03-27,NYM,HOU,HOU,HOU,0.542,0.542,0.5056,1,0,HOU,0.5382,0.5382,0.5094,1,0,0
2025-03-27,SFG,CIN,SFG,SFG,0.5305,0.5171,0.5305,1,0,SFG,0.5262,0.5214,0.5262,1,0,0
2025-03-27,ATL,SDP,SDP,SDP,0.5402,0.5402,0.5073,1,0,SDP,0.5366,0.5366,0.511,1,0,0
2025-03-27,LAA,CHW,CHW,CHW,0.5461,0.5461,0.5014,1,0,CHW,0.5555,0.5555,0.4919,1,0,0
2025-03-27,PIT,MIA,MIA,MIA,0.5299,0.5299,0.5177,1,0,MIA,0.5253,0.5253,0.5223,1,0,0
2025-03-27,MIN,STL,STL,STL,0.5341,0.5341,0.5135,1,0,STL,0.5267,0.5267,0.5209,1,0,0
2025-03-27,DET,LAD,LAD,LAD,0.539,0.539,0.5085,1,0,LAD,0.5687,0.5687,0.4785,1,0,0
2025-03-27,CHC,ARI,CHC,CHC,0.5281,0.5195,0.5281,1,0,CHC,0.55,0.4975,0.55,1,0,0
2025-03-27,OAK,SEA,SEA,SEA,0.5436,0.5436,0.504,1,0,SEA,0.5591,0.5591,0.4883,1,0,0
2025-03-28,COL,TBR,TBR,TBR,0.5411,0.5411,0.5065,1,0,TBR,0.528,0.528,0.5196,1,0,0
2025-03-28,BAL,TOR,TOR,TOR,0.5364,0.5364,0.5112,1,0,TOR,0.5479,0.5479,0.4996,1,0,0
2025-03-28,PIT,MIA,PIT,MIA,0.5399,0.5399,0.5077,0,0,MIA,0.5354,0.5354,0.5122,0,0,0
2025-03-28,BOS,TEX,TEX,TEX,0.5259,0.5259,0.5217,1,0,BOS,0.5443,0.5032,0.5443,0,1,1
2025-03-28,NYM,HOU,NYM,HOU,0.5359,0.5359,0.5117,0,0,HOU,0.5321,0.5321,0.5155,0,0,0
2025-03-28,CHC,ARI,ARI,CHC,0.5297,0.5179,0.5297,0,0,CHC,0.5516,0.4959,0.5516,0,0,0
2025-03-28,OAK,SEA,OAK,SEA,0.5456,0.5456,0.5019,0,0,SEA,0.5611,0.5611,0.4863,0,0,0
2025-03-28,ATL,SDP,SDP,SDP,0.5488,0.5488,0.4987,1,0,SDP,0.5452,0.5452,0.5023,1,0,0
2025-03-28,DET,LAD,LAD,LAD,0.5311,0.5311,0.5165,1,0,LAD,0.5608,0.5608,0.4865,1,0,0
2025-03-29,MIL,NYY,NYY,NYY,0.5546,0.5546,0.4928,1,0,NYY,0.584,0.584,0.4629,1,0,0
2025-03-29,LAA,CHW,LAA,CHW,0.5578,0.5578,0.4896,0,0,CHW,0.5671,0.5671,0.4801,0,0,0
2025-03-29,MIN,STL,STL,STL,0.5394,0.5394,0.5082,1,0,STL,0.5321,0.5321,0.5155,1,0,0
2025-03-29,BAL,TOR,BAL,TOR,0.542,0.542,0.5056,0,0,TOR,0.5535,0.5535,0.494,0,0,0
2025-03-29,PHI,WAS,PHI,PHI,0.5432,0.5043,0.5432,1,0,PHI,0.5453,0.5022,0.5453,1,0,0
2025-03-29,CLE,KCR,KCR,CLE,0.5388,0.5088,0.5388,0,0,CLE,0.5337,0.5139,0.5337,0,0,0
2025-03-29,SFG,CIN,CIN,SFG,0.5434,0.5041,0.5434,0,0,SFG,0.5391,0.5085,0.5391,0,0,0
2025-03-29,COL,TBR,COL,TBR,0.5484,0.5484,0.4992,0,0,TBR,0.5354,0.5354,0.5122,0,0,0
2025-03-29,PIT,MIA,MIA,MIA,0.5364,0.5364,0.5112,1,0,MIA,0.5319,0.5319,0.5157,1,0,0
2025-03-29,BOS,TEX,TEX,TEX,0.5312,0.5312,0.5164,1,0,BOS,0.539,0.5085,0.539,0,1,1
2025-03-29,NYM,HOU,HOU,HOU,0.5379,0.5379,0.5097,1,0,HOU,0.5342,0.5342,0.5134,1,0,0
2025-03-29,ATL,SDP,SDP,SDP,0.5428,0.5428,0.5048,1,0,SDP,0.5391,0.5391,0.5084,1,0,0
